headline,type,year,news_desk_category,GPT_score,GPT_class
Baroid Corp. reports earnings for Qtr to March 31,article,1993,business/economy/financial,0.2,matter-of-fact
"Paid Notice: Deaths   STRAUS, ROGER W.",article,2004,lifestyle/living,-0.7,matter-of-fact
International Briefs; Recovery at Wedgwood,article,1995,business/economy/financial,0.5,balanced
"Stew: Warming, Comforting And Now, Fashionable",article,1997,dining/food,0.5,clickbait
China Yawns as U.S. Complains About Auto Tariffs,article,2012,business/economy/financial,-0.3,clickbait
"Paid Notice: Deaths  VAN ZANDT, LEONA THOMPSON",article,1997,lifestyle/living,-0.8,matter-of-fact
"John Christopher, Science Fiction Writer, Dies at 89",article,2012,arts/culture,-0.8,balanced
Mets Retain Father Figure and Ignore Father Time,article,2006,sports,0.4,clickbait
The Listings: July 1 -- July 7; KHALED AND FRIENDS,article,2005,weekend,0.2,clickbait
Excerpt: 'The New Normal',multimedia,2012,uncategorized,0.2,clickbait
Let the E.P.A. Do Its Job,article,2014,opinion/editorial,0.3,balanced
"Debates Over, Candidates Begin Final Sprint",article,2008,world/international/foreign,0.5,balanced
Autos' Converters Cut Smog But Add to Global Warming,article,1998,world/international/foreign,-0.5,clickbait
"Variation 5, Take 2",audio,2018,uncategorized,0.2,clickbait
"Melissa Ramirez, Michael Hornsby",article,2004,social/society,0.1,matter-of-fact
Corrections,article,2001,uncategorized,0.2,balanced
James Merry’s Custom-Stitched Capsule Collection,multimedia,2015,magazine,0.5,balanced
Europe’s New Austerity: Will It Work?,article,2010,uncategorized,-0.5,balanced
August 13-19: Internet Gospel; Scientology's Expensive Wisdom Now Comes Free,article,1995,weekend,0.2,clickbait
"PAPERBACK BEST SELLERS: July 5, 1992",article,1992,books/reviews,0.2,matter-of-fact
"National Health Spending to Surpass $10,000 a Person in 2016",article,2016,world/international/foreign,-0.5,clickbait
"In a Mining Region, Lingering Echoes of Tunisia’s Uprising",article,2016,uncategorized,0.1,balanced
Stock Offerings,article,2004,business/economy/financial,0.1,matter-of-fact
"Growth Revised Upward, to 1.7% Last Quarter",article,2002,business/economy/financial,0.6,balanced
A Spy’s Motivation: For Love of Another Country,article,2008,weekend,0.3,clickbait
"‘Targeted’ Shooting in Ottawa Leaves One Dead and at Least 3 Injured, Police Say",article,2020,special features,-0.8,balanced
Bassett Furniture (NMS) reports earnings for Qtr to Feb 28,article,1994,business/economy/financial,0.1,matter-of-fact
"A Lifelong Loyalty, True to the End",article,1994,home,0.7,clickbait
The Decline of Middlebrow Culture,article,2005,media,-0.5,balanced
"The Nation: The Illusion of Entertainment; Just Like a Movie, But It's Not",article,2002,weekend,-0.3,clickbait
Internet Address Group Approves Overhaul,article,2002,business/economy/financial,0.5,balanced
Corrections,article,2000,home,0.2,clickbait
Thrive Capital Raises $700 Million for Fifth Fund,article,2016,business/economy/financial,0.7,balanced
Bill Clinton Says He Doesn’t Owe Lewinsky a Private Apology in Light of #MeToo,article,2018,special features,-0.5,clickbait
Women Without Options and Spoiled for Choice,article,2017,arts/culture,0.2,clickbait
"Paid Notice: Deaths  EINIGER, JACK",article,2001,lifestyle/living,-0.8,matter-of-fact
What’s New at Langlitz Leathers? Nothing,article,2018,fashion/style,-0.5,clickbait
New Campaigns Section Introduced,article,2002,world/international/foreign,0.2,matter-of-fact
Mortgage Transfer Savings,article,1997,real estate,0.3,clickbait
Joint Chiefs Tell Lawmakers Pet Projects Impair Defense,article,1998,world/international/foreign,-0.6,balanced
Missile Defense Realities,article,2002,media,0.2,balanced
A Move to Curtail Fishing For Fluke Prompts Outcry,article,2006,weekend,-0.5,balanced
Four Saints From Louisiana Can Finally Dare to Hope,article,2010,sports,0.6,clickbait
A Relentless Widening of Disparity in Wealth,article,2014,business/economy/financial,-0.8,clickbait
Lines Stretch for Blocks as New Yorkers Turn Out for Early Voting,article,2020,entertainment,0.3,balanced
How Hamas Rose From Wild Card to Power,article,2006,weekend,0.0,clickbait
France: Sarkozy Rival Forms New Party,article,2010,world/international/foreign,0.1,balanced
Ex-Attorney General Joins Debevoise & Plimpton,article,2009,business/economy/financial,0.5,balanced
What Will Happen When the Baobab Goes Global?,article,2009,opinion/editorial,0.3,clickbait
Looking for Truth in Ukraine,multimedia,2014,technology,0.2,clickbait
"My Subjects Are Serious, Rona Jaffe Says",article,1991,weekend,0.2,balanced
"Chicago Cubs, Mosul, Jacob Zuma: Your Thursday Briefing",article,2016,uncategorized,0.0,clickbait
Arrow Electronics Agrees to Add Anthem,article,1994,business/economy/financial,0.5,balanced
Tasting the Bounty of San Francisco Markets,article,2008,real estate,0.7,balanced
Cataract Surgery,multimedia,2010,science/health,0.5,matter-of-fact
Restricting Prison Food,article,2003,media,-0.5,balanced
"Viviany Taqueti, Aaron Aguirre",article,2012,social/society,0.1,matter-of-fact
"Profile: Monroe Trout Jr.;
The Price of Success: He Isn't Doubling His Money Yearly",article,1993,business/economy/financial,-0.5,clickbait
"Sampler: Manners on the Bus, Seal Pups at Point Reyes and a New Oakland Park",article,2010,uncategorized,0.4,balanced
Corrections,article,1995,theater,0.2,clickbait
Lens: Tim Hetherington,multimedia,2011,technology,0.2,balanced
Adventures in Campaigning: Is That Seat Taken?,article,2008,uncategorized,0.2,clickbait
What to Expect When a Clinton Is Expecting,article,2014,world/international/foreign,0.1,clickbait
Poetry in Motion | Ugly Duckling Presse,article,2009,fashion/style,0.5,clickbait
"Berlin, Mexico City, Tupac Shakur: Your Wednesday Briefing",article,2016,uncategorized,0.2,clickbait
‘A Lot of Bad News Out There’: Parenting in a Pandemic,article,2020,world/international/foreign,-0.7,balanced
"If You Tweet It, They Will Come",article,2009,uncategorized,0.5,clickbait
Tricia Daly Married to Edwin Frank,article,1991,social/society,0.2,matter-of-fact
Dave Purchase Dies at 73; Led Early Needle Exchange,article,2013,world/international/foreign,-0.6,balanced
Watch Doug Aitken’s Mirrored Ranch House Transform Over Time,article,2017,fashion/style,0.2,balanced
BIATHLON,article,1994,sports,0.0,matter-of-fact
A Celebration of Romantic and Comedic Joy,article,2005,arts/culture,0.8,balanced
House Resales Fell by 1.5% In October,article,1996,business/economy/financial,-0.4,matter-of-fact
The World: Checkered Flags; Sovereignty Isn't So Sacred Anymore,article,1999,weekend,-0.5,clickbait
TRANSACTIONS,article,1998,sports,0.2,matter-of-fact
Officers May Be Disciplined For Conduct in S.I. Attack,article,2003,home,-0.6,balanced
"No, the Broadway Musical Isn’t Doomed",article,2018,opinion/editorial,0.5,clickbait
Loss to Rays Shrinks Orioles’ Margin for Errors,article,2012,sports,-0.5,balanced
Charter School Approved for Affluent Brooklyn Enclave,article,2011,entertainment,0.2,balanced
Rohingya Women Flee Violence Only to Be Sold Into Marriage,article,2015,world/international/foreign,-0.9,clickbait
Citi Bike Resumes Service After Weekend Maintenance,article,2015,entertainment,0.6,balanced
Gimme the Mustard and Another Plat du Jour,article,1991,lifestyle/living,0.0,clickbait
Residential Sales,article,2004,home,0.2,matter-of-fact
New Drug-Law Plan Still Needs Work,article,2001,media,-0.4,balanced
Let’s Quit Fetishizing the Single-Family Home,article,2020,opinion/editorial,-0.3,balanced
Glaring at Two-Thirds of an 'Axis',article,2002,media,0.2,clickbait
How Would You Save ‘Spider-Man’?,article,2011,uncategorized,0.5,clickbait
"Instead of Jail, Court Fines Cut to Fit the Wallet",article,2015,opinion/editorial,0.2,clickbait
McCain Helps Letterman Beat Leno’s Ratings,article,2008,arts/culture,0.5,clickbait
You Don’t Have to Be Jewish to Celebrate Rosh Hashana,article,2017,opinion/editorial,0.3,clickbait
OUTLOOK: Markets & Investing; Oversupply and Slackened Demand Vex Commodity Markets,article,2002,business/economy/financial,-0.5,balanced
Isolated County in Tibet Is Linked to Highway System,article,2010,world/international/foreign,0.2,balanced
Here It Comes: The Sarbanes-Oxley Backlash,article,2005,business/economy/financial,-0.7,clickbait
The Most Soporific Word in the World…,article,2009,uncategorized,0.2,clickbait
"Standing in the Dark, Catching the Light",article,2006,sports,0.5,clickbait
Streetscapes/Columbus Avenue From 72nd to 77th Street; Small and Elegant 19th-Century Apartment Houses,article,2001,real estate,0.5,balanced
"Breathe In, Breathe Out, Fall in Love",article,2010,fashion/style,0.5,clickbait
"Monitor Cites Reform, Though Incomplete, by Los Angeles Police",article,2009,world/international/foreign,0.2,balanced
INSIDE,article,2003,home,0.2,clickbait
"Bowie Killed Ziggy in '73, But Here's A Premiere",article,2002,arts/culture,0.2,clickbait
Updates on Day 6 of Egypt Protests,article,2011,uncategorized,-0.5,balanced
Crisis Experts Say Andersen Has Big Job in Trying to Repair Its Reputation,article,2002,business/economy/financial,-0.5,balanced
Chicago Bears at San Diego Chargers Preview,article,2015,sports,0.0,balanced
"For People on the Margins, a Ministry Steps Outdoors ",article,2010,entertainment,0.5,balanced
"Paid Notice: Deaths  SHAPIRO, IVAN",article,1998,lifestyle/living,-0.8,matter-of-fact
My Three Favorite Rapper Debut Album Covers,article,2011,magazine,0.5,balanced
"At the Ball, a Deadly Thief in the Night",article,1999,arts/culture,-0.7,clickbait
$800 Million Earmarked for Rebuilding Projects,article,2005,education,0.6,balanced
Kermit the Frog in New Role: Plaintiff,article,1991,business/economy/financial,0.2,clickbait
Israel Seals Off Gaza Soon After Powell Visit,article,2003,education,-0.6,balanced
Home Sales Around the Region,multimedia,2014,real estate,0.2,matter-of-fact
America Unmasked,article,2009,books/reviews,0.2,clickbait
Tabloid Editor and Ex-Diplomat Square Off Over China’s Foreign Policy,article,2016,world/international/foreign,0.0,clickbait
"Benjamin Baldwin, an Architect And Interior Designer, Dies at 80",article,1993,obituary,-0.7,balanced
"The Road Through Hell, Paved With Desperation",article,2006,arts/culture,-0.7,clickbait
Cablevision and Union Reach Brooklyn Contract Deal,article,2015,entertainment,0.3,balanced
Quincy Jones Wins Suit Against Michael Jackson’s Estate,article,2017,business/economy/financial,0.3,balanced
Preserving an Ancient Cuisine,article,1998,dining/food,0.5,balanced
Not Hilton's. Not Westin's. Merely A Shoehorn.,article,1992,times,0.1,clickbait
Who Decides What’s ‘Sexy’ — And Who Pays for It?,article,2018,magazine,0.2,clickbait
Russian Critical of Jews Will Not Quit Academy,article,1992,world/international/foreign,-0.7,clickbait
"By Wind, Water or Flame, Natural Disasters Strike",multimedia,2011,business/economy/financial,-0.7,clickbait
Illinois: Six are Shot in Laundromat in Chicago,article,2014,world/international/foreign,-0.8,matter-of-fact
"Paid Notice: Deaths   STARKE, DR. CATHERINE JUANITA",article,2005,lifestyle/living,-0.7,matter-of-fact
"Paid Notice: Deaths   SAPUTO, VITO",article,2003,lifestyle/living,-0.8,matter-of-fact
The Ticket Master?,article,2003,opinion/editorial,0.2,clickbait
Excitement for the Wallenda Walk,multimedia,2012,entertainment,0.7,balanced
Cornell Professor Wins Poetry Prize,article,2003,arts/culture,0.5,balanced
"At Rick Owens, a Sculptural Hairstyle Among the Many",article,2015,fashion/style,0.3,balanced
At Ease: Giants Know the Drill,article,2006,sports,0.2,clickbait
South Africa Gets Olympic Invitation,article,1991,sports,0.7,balanced
"The War That Decided the Vote, Not Vice Versa",article,1998,arts/culture,0.2,clickbait
A Pair of Contrasting Rivals Start Bids for Governor Early,article,2001,home,0.2,clickbait
PUBLIC SHARES,article,2000,home,0.0,matter-of-fact
The Vatican and the War,article,2001,media,-0.5,clickbait
War Hero Status Possible for the Computer Chip,article,1991,world/international/foreign,0.2,clickbait
Transactions,article,1995,sports,0.2,matter-of-fact
"Barclays Selects a Chief, And Its Shares Gain 4.6%",article,1999,business/economy/financial,0.6,balanced
Sprewell Is Ready to Talk,article,2002,sports,0.2,clickbait
You Lost Weight. Will You Regain It?,article,2016,entertainment,0.2,clickbait
Chinese President to Seek New Relationship With U.S. in Talks,article,2013,world/international/foreign,0.5,balanced
‘The Journey Home’,article,2008,books/reviews,0.5,balanced
Movie Listings for Nov. 4-10,article,2016,weekend,0.2,matter-of-fact
A Comedian Retraces His Life Through 16 Homes,article,2012,home,0.5,clickbait
Jeb Bush Files Brief in Case Of Woman on Life Support,article,2003,world/international/foreign,0.2,balanced
"CURRENTS;
Oh, to Have Been to the Manor Born",article,1992,home,0.5,clickbait
Rings Fans Line Up for Marathon Screening,article,2003,education,0.5,balanced
Please Don’t Make Me Go on Vacation,article,2006,fashion/style,-0.3,clickbait
Media Talk; Questionable Letter For a Liar's Memoir,article,2000,business/economy/financial,-0.5,clickbait
TWICE BURNED,article,1995,magazine,0.1,clickbait
Sore Shoulder Puts Yoenis Cespedes Out of Game in 2nd Inning,article,2015,sports,-0.6,balanced
Time Catches Up to Icon of Bygone Hamptons,article,2001,weekend,-0.3,balanced
Adele on ‘25’: Song by Song,article,2015,arts/culture,0.5,balanced
"Paid Notice: Deaths  CONRAD, CHIP",article,1998,lifestyle/living,-0.8,matter-of-fact
Remember Toys?,article,2007,entertainment,0.1,clickbait
City Ballet’s Spring Season,article,2009,arts/culture,0.5,balanced
"America’s Racial Divide, Charted",article,2014,home,-0.5,balanced
Gaffney Appears To Hold Wide Lead,article,1995,weekend,0.6,clickbait
World Briefing | Middle East: Iraq: No Cooperation On Missing People,article,2001,world/international/foreign,-0.7,balanced
Review: Janet Jackson’s ‘Unbreakable’ Focuses on Love Outside the Bedroom,article,2015,arts/culture,0.5,balanced
U.N. SEEKS SIGNAL ON TROOP NOTICE,article,1992,world/international/foreign,0.0,balanced
Can’t Calm Down After Coachella? Try Beyoncercise,article,2018,politics,0.5,clickbait
"With Some Luck, the Flawed Yankees May Have a Prayer",article,2015,sports,0.1,clickbait
"Paid Notice: Memorials  WEXLER, MELISSA ANN",article,1998,lifestyle/living,-0.5,matter-of-fact
News From the Advertising Industry ,article,2014,business/economy/financial,0.2,balanced
Afghan and Sudanese Immigrants Doubt Merit of Attacks,article,1998,home,-0.5,balanced
In the Mood for Malpeques,article,2006,dining/food,0.5,clickbait
"Clock Ticks, Bonus Ebbs for Recruits",article,2006,business/economy/financial,-0.5,clickbait
"Mom’s Wacky, Dad’s Distracted, Son Survives",article,2006,weekend,0.2,clickbait
A Loss in Los Angeles,article,2008,arts/culture,-0.5,clickbait
Bush Accepts Invitation to Beijing Olympics,article,2007,uncategorized,0.3,balanced
For the Record,article,2007,obituary,0.0,balanced
Pocket Books Publisher To Bantam,article,1992,business/economy/financial,0.0,matter-of-fact
Thailand to Sell Shares in Airline,article,1997,business/economy/financial,0.2,balanced
National Briefing | South: Mississippi: Abortion Bills Pass,article,2004,world/international/foreign,-0.5,balanced
"Paid Notice: Deaths  MCNALLY, CLAIRE O'BRIEN ZEPPIE",article,1999,lifestyle/living,-0.8,matter-of-fact
Cocktail's Last Dash Can Make A Difference,article,2006,dining/food,0.2,clickbait
LeBron James Delivered on His Promise in 2016,article,2016,education,0.9,balanced
Frenchman to Be Tried For Nazi War Crimes,article,1997,world/international/foreign,-0.7,balanced
CRICKET : Hope is reborn for a team long accustomed to losing,article,2004,uncategorized,0.6,clickbait
"Stepping Out in Reykjavik, Party Town",article,1998,travel,0.5,clickbait
2 Transit Workers Are Found Fatally Shot,article,2004,home,-0.9,balanced
Tuckahoe Financial reports earnings for Qtr to Sept 30,article,1992,business/economy/financial,0.2,matter-of-fact
BUSINESS DIGEST,article,2004,business/economy/financial,0.0,matter-of-fact
Jets Sign Another Quarterback,article,2003,sports,0.2,clickbait
"Paid Notice: Deaths  LOCALIO, S. ARTHUR, MD.",article,2000,lifestyle/living,-0.8,matter-of-fact
"Philip Roth, Catherine Zeta-Jones, Macaulay Culkin",article,2004,uncategorized,0.0,clickbait
"Paid Notice: Deaths  NEMIROFF, HELENE",article,2002,lifestyle/living,-0.8,matter-of-fact
Battle Cries,multimedia,2014,sports,0.2,clickbait
"Paid Notice: Deaths  SULLIVAN, BRIDGET",article,2002,lifestyle/living,-0.8,matter-of-fact
Annie Get Your Blue Jeans (and Reverse Expectations),article,2008,arts/culture,0.2,clickbait
The Em Dash Divides,article,2019,fashion/style,0.2,clickbait
Pearle Vision Places Account in Review,article,1998,business/economy/financial,-0.6,matter-of-fact
"The City Opera's Harsh, Early Version of 'Butterfly'",article,1996,travel,-0.5,clickbait
Another Veto,article,2012,uncategorized,0.2,clickbait
BRITISH FOOD RETAILER BUYING 12 GRAND UNION STORES,article,2000,business/economy/financial,0.3,balanced
The Deification of Sancho,article,2007,uncategorized,0.2,clickbait
Possible Candidate for District Attorney Carries a Powerful Name: Feinstein,article,2010,world/international/foreign,0.2,clickbait
NEW JERSEY DAILY BRIEFING;Check-Off Box Bill Gains,article,1995,home,0.3,balanced
Education in Kenya Suffers at Hands of Shabab Extremists,article,2015,world/international/foreign,-0.8,balanced
Dieting? Put Your Money Where Your Fat Is,article,2009,fashion/style,0.2,clickbait
How to Write a Personal Essay That You Know Will Be Torn Apart in the Comments Section,article,2013,uncategorized,-0.5,clickbait
Lottery Numbers,article,2009,entertainment,0.1,clickbait
2 U.S. Soldiers Killed in Iraq,article,2003,special features,-0.9,balanced
Britain Faces $3.2 Billion Loss from Northern Rock Sale,article,2012,uncategorized,-0.8,balanced
Anne Chalmers and Holly Gunner,article,2005,social/society,0.0,balanced
"From New York Harbor, A Pair of Queens Set Sail",article,2004,home,0.5,clickbait
What We’re Reading,article,2012,uncategorized,0.2,balanced
Market Place; Japan Acts to Cut Banks' Mountain of Bad Loans,article,1994,business/economy/financial,0.2,balanced
$85 Million Fund for Cincinnati Music,article,2009,arts/culture,0.8,balanced
Belize,article,2004,travel,0.2,matter-of-fact
Administration Disavows Carter’s Trip,article,2008,world/international/foreign,-0.5,clickbait
Shirking a Moral Duty,article,2013,opinion/editorial,-0.7,clickbait
"BERTUCCI'S, PIZZA CHAIN, IS SOUGHT BY NE RESTAURANT",article,1998,business/economy/financial,0.2,balanced
"Again, Gotham Book Mart Finds Itself in Need of Rescue",article,2006,home,-0.6,clickbait
UBS Probe Spurs Rich Americans Into Confessions,article,2009,business/economy/financial,-0.5,clickbait
Losing Games to Injury Equals Just Losing,article,2012,uncategorized,-0.5,clickbait
Corrections,article,2003,home,0.2,clickbait
Is Music the Key to Success?,article,2013,opinion/editorial,0.5,clickbait
"Paid Notice: Deaths   EYTAN, BEATRICE",article,2004,lifestyle/living,-0.8,matter-of-fact
Powering Australia’s Economic Surge,article,2016,opinion/editorial,0.6,balanced
Rapunzel's Offspring Are Cashing In,article,2000,theater,0.2,clickbait
Boston Bargain,article,2001,uncategorized,0.2,clickbait
What’s the Matter With Europe?,article,2018,opinion/editorial,-0.5,clickbait
"Lynn Desenberg, Daniel Heumann",article,2001,social/society,0.2,matter-of-fact
"Geek Chic | iPhone Postcard Apps, Part Two",article,2009,uncategorized,0.2,balanced
Let’s Get Serious and Severe (and Dance With a Stool),article,2010,arts/culture,0.2,clickbait
"Jacob Kassin, 94, Chief Rabbi Of Brooklyn's Syrian Sephardim",article,1994,obituary,0.2,balanced
"From Morgan Stanley, Investing in Women on Corporate Boards",article,2013,uncategorized,0.6,balanced
Longtime Companion Fights for Inheritance,article,2006,weekend,-0.5,clickbait
Car Makers Slow to Use New Power Over Prices,article,1998,automobiles,-0.4,balanced
Bill Would Require More Monitoring of Implants,article,2011,business/economy/financial,0.2,balanced
Metro Briefing | New York: Manhattan: Subway Stabbing Leads To 2 Arrests,article,2002,home,-0.6,balanced
Clothes Make the Man,article,2014,arts/culture,0.5,clickbait
Stackhouse Suspended for Game 5,article,2006,sports,-0.6,balanced
"In Studios and Grand Halls, Feeling a Pinch From Italy",article,2012,entertainment,-0.3,clickbait
The Less Than Heroic Christopher Columbus,article,2011,books/reviews,-0.5,clickbait
On the Market in the New York Region,multimedia,2019,real estate,0.2,balanced
Jets’ Baker Will Not Play Against Bengals,article,2007,uncategorized,-0.6,balanced
"$2,500,000 Homes in Oregon, California and Louisiana",article,2015,real estate,0.2,balanced
"David Bierk, 58, Canadian Artist Who Reinterpreted Masterworks",article,2002,arts/culture,0.2,balanced
‘Moby-Duck’,article,2011,books/reviews,0.2,clickbait
How Business Can Help in Schools,article,1991,business/economy/financial,0.5,balanced
AIG to pay $1.6 billion in settlement of fraud charges,article,2006,uncategorized,-0.7,balanced
Time to Think,article,2006,media,0.5,clickbait
Article on Crotona Park Revived Memory of a Dip,article,1999,theater,0.2,clickbait
U.S. Marshal Put on Leave After Shooting,article,1997,home,-0.5,balanced
South Carolina Election Results: Third Congressional District,multimedia,2020,business/economy/financial,0.0,matter-of-fact
France Proposes Adoption of Plea Bargaining in Legal Overhaul,article,2003,world/international/foreign,0.3,balanced
"In a Melancholy Los Angeles, ‘La Ronde’ of Motherhood",article,2010,weekend,-0.3,clickbait
Zvonareva Advances (But It Takes a While),article,2011,uncategorized,0.2,clickbait
Journal; The Silver Lining,article,1994,media,0.5,balanced
The Infinite Variety of the Lady Stanwyck,article,2007,arts/culture,0.5,clickbait
This Time He Really Means It,article,1999,business/economy/financial,0.2,clickbait
VALLEY NATIONAL BANCORP ADDING ROCK FINANCIAL,article,1994,business/economy/financial,0.5,balanced
"Sex, Status And Survival On Wheels",article,2003,arts/culture,0.2,clickbait
"An Angel Calls Back the Music of Old Havana; From Shining Shoes to Carnegie Hall, and the Stories Along the Way",article,1998,arts/culture,0.8,clickbait
GULFSTREAM BUYING KIMBERLY-CLARK AVIATION UNIT,article,1998,business/economy/financial,0.4,balanced
Home Depot reports earnings for Qtr to May 3,article,1992,business/economy/financial,0.0,matter-of-fact
Technology; Making Compost Double as Pesticide,article,1994,business/economy/financial,0.6,clickbait
"In a Power-Hungry Neighborhood, High Tensions With Con Edison",article,2002,theater,-0.6,clickbait
"Paid Notice: Deaths  MARGRAF, KATHARINE",article,1998,lifestyle/living,-0.8,matter-of-fact
THE MEDIA BUSINESS: Television; And then there were six? Networks are back in style as studios try to insure their products' future.,article,1993,business/economy/financial,0.2,clickbait
CBS Finds Some Super Bowl Sales Success,article,2009,media,0.5,balanced
Q&A: Barcelona’s Thierry Henry,article,2007,uncategorized,0.5,balanced
"Maguire, a Voice (Not a Face) for Hire",article,1998,sports,0.2,clickbait
HILTON SAID TO HOLD MERGER TALKS WITH CIRCUS CIRCUS,article,1998,business/economy/financial,0.2,clickbait
The British Supreme Takes New York,article,2017,fashion/style,-0.6,clickbait
"Paid Notice: Deaths  FRANKLIN, ABE",article,2001,lifestyle/living,-0.8,matter-of-fact
Corrections,article,1998,home,0.5,clickbait
"Corrections: Dec. 3, 2020",article,2020,education,0.2,matter-of-fact
SENATORS SEEKING A $60 BILLION CUT IN TAXES FOR 2001,article,2001,world/international/foreign,0.2,balanced
"How Eileen Myles, Poet, Spends Her Sundays",article,2016,politics,0.3,balanced
INSIDE,article,2002,home,0.0,clickbait
"Welcoming the Notice, if Not Necessarily the U.S. Visitors",article,2006,world/international/foreign,0.2,clickbait
Young Pros Have Lessons to Teach,article,2001,uncategorized,0.3,balanced
"HUGHES ADDS 450,000 DIRECTV CUSTOMERS",article,2000,business/economy/financial,0.7,balanced
"Let There Be Light, But Less of It",article,2006,weekend,0.3,clickbait
Google Cancels Employee Meeting Because of Harassment Fears,article,2017,business/economy/financial,-0.7,clickbait
Mayor May Trade a Term Limits Deal for Support on Stadium Issue,article,1998,home,0.2,clickbait
'Push' Didn't Get the Shove,article,1998,books/reviews,0.1,clickbait
The Broncos' Shanahan Is Ruthless for a Reason,article,1998,sports,0.2,clickbait
A Paper Calendar? It’s 2011,article,2011,fashion/style,-0.5,clickbait
"Root, Root, Root for the Home-Field Advantage",article,2006,sports,0.3,clickbait
In the Nation; The Big Giveaway,article,1991,media,0.2,clickbait
Armstrong Pharmaceuticals Inc. reports earnings for Qtr to Sept 26,article,1992,business/economy/financial,0.0,matter-of-fact
Mark Kurlansky on Sustainable Seafood,article,2011,uncategorized,0.5,balanced
Knicks Are Waiting for the Nod From on High,article,1999,sports,0.2,clickbait
Mideast Still Plagued by Violence,article,2000,uncategorized,-0.8,balanced
Port Authority Sale,article,1999,theater,0.2,clickbait
Condo Owners and Board Meetings,article,2006,real estate,0.0,matter-of-fact
Fired Analyst Accused of Online Vendetta,article,2006,business/economy/financial,-0.7,clickbait
Editors' Note; Today's Sections,article,2003,home,0.2,matter-of-fact
THEATER;From Scenery That Floats . . .,article,1996,sports,0.2,clickbait
Essay; Battle of the Blue Slips,article,2001,media,0.2,clickbait
Fake Physician Attacks Woman,article,2005,education,-0.9,clickbait
Eastern Conference,article,1992,sports,0.0,matter-of-fact
Some Familiar Names Give Way to the New Faces,article,2009,uncategorized,0.0,clickbait
Reviewing the Chevrolet Malibu Eco,article,2012,uncategorized,0.0,balanced
Slide Show: Ghesquière's Fairy Tale,multimedia,2002,magazine,0.5,clickbait
Saudi Arabia and U.S. Clash Over Khashoggi Case,article,2018,world/international/foreign,-0.7,clickbait
"Midterm Election Poll: Ohio’s 1st District, Chabot vs. Pureval",multimedia,2018,sports,0.1,balanced
Q & A,article,1999,science/health,0.0,clickbait
Tampax Account To Leo Burnett,article,1997,business/economy/financial,0.0,clickbait
"Review: Sasha Waltz’s ‘Continu,’ Dances of Contrasting Moods",article,2015,arts/culture,0.5,balanced
Morning Take-Out,article,2012,uncategorized,0.2,clickbait
Risk and Reward,article,2008,opinion/editorial,0.3,balanced
"A Political Star Rises in Britain, Helped by Twitter",article,2013,world/international/foreign,0.6,clickbait
GORE SUPPORTING RESIDENCY STATUS FOR CUBAN CHILD,article,2000,world/international/foreign,0.6,balanced
Greenspan Backed for Another Term,article,1992,business/economy/financial,0.5,balanced
